cement_opc,scm_flyash,scm_ggbs,silica_sand,locally_avail_sand,w_b,hrwr_b,perc_of_fibre,aspect_ratio,tensile_strength,density,youngs_modulus,elongation,compressive_stregth
468.0,0.0,0.0,667.0,1146.0,135.2,18.2,0,0,6.37,2416.2,-1.0,0,79.22
442.0,0.0,0.0,667.0,1146.0,135.2,18.2,0,0,6.65,2390.2,-1.0,0,80.92
416.0,0.0,0.0,667.0,1146.0,135.2,18.2,0,0,6.51,2364.2,-1.0,0,79.9
390.0,0.0,0.0,667.0,1146.0,135.2,18.2,0,0,5.75,2338.2,-1.0,0,74.8
484.5,0.0,0.0,653.0,1122.5,153.0,17.85,0,0,5.61,2413.0,-1.0,0,63.75
459.0,0.0,0.0,653.0,1122.5,153.0,17.85,0,0,6.05,2387.5,-1.0,0,67.15
433.5,0.0,0.0,653.0,1122.5,153.0,17.85,0,0,6.25,2362.0,-1.0,0,71.99
408.0,0.0,0.0,653.0,1122.5,153.0,17.85,0,0,6.24,2336.5,-1.0,0,74.38
382.5,0.0,0.0,653.0,1122.5,153.0,17.85,0,0,5.61,2311.0,-1.0,0,71.66
475.0,0.0,0.0,640.0,1100.0,170.0,17.5,0,0,5.61,2385.0,-1.0,0,55.08
450.0,0.0,0.0,640.0,1100.0,170.0,17.5,0,0,5.71,2360.0,-1.0,0,61.2
425.0,0.0,0.0,640.0,1100.0,170.0,17.5,0,0,5.75,2335.0,-1.0,0,64.01
400.0,0.0,0.0,640.0,1100.0,170.0,17.5,0,0,6.05,2310.0,-1.0,0,68.85
375.0,0.0,0.0,640.0,1100.0,170.0,17.5,0,0,5.85,2285.0,-1.0,0,66.98
465.5,0.0,0.0,628.0,1078.0,186.2,17.15,0,0,4.51,2357.7,-1.0,0,51.0
441.0,0.0,0.0,628.0,1078.0,186.2,17.15,0,0,5.17,2333.2,-1.0,0,56.1
416.5,0.0,0.0,628.0,1078.0,186.2,17.15,0,0,5.2,2308.7,-1.0,0,57.375
392.0,0.0,0.0,628.0,1078.0,186.2,17.15,0,0,5.21,2284.2,-1.0,0,58.65
367.5,0.0,0.0,628.0,1078.0,186.2,17.15,0,0,5.25,2259.7,-1.0,0,60.95
343.0,0.0,0.0,628.0,1078.0,186.2,17.15,0,0,4.85,2235.2,-1.0,0,57.8
456.0,0.0,0.0,616.0,1058.0,201.6,16.8,0,0,4.4,2331.6,-1.0,0,42.67
432.0,0.0,0.0,616.0,1058.0,201.6,16.8,0,0,4.45,2307.6,-1.0,0,48.88
408.0,0.0,0.0,616.0,1058.0,201.6,16.8,0,0,4.5,2283.6,-1.0,0,51.0
384.0,0.0,0.0,616.0,1058.0,201.6,16.8,0,0,4.54,2259.6,-1.0,0,53.13
360.0,0.0,0.0,616.0,1058.0,201.6,16.8,0,0,4.51,2235.6,-1.0,0,54.23
336.0,0.0,0.0,616.0,1058.0,201.6,16.8,0,0,4.35,2211.6,-1.0,0,44.03
720.0,0.0,0.0,730.0,710.0,231.0,33.0,0,0,-1.0,2391.0,51.3,0,92.91
640.0,0.0,0.0,730.0,710.0,252.0,33.0,0,0,-1.0,2332.0,55.0,0,86.11
560.0,0.0,0.0,730.0,710.0,273.0,33.0,0,0,-1.0,2273.0,55.9,0,83.05
720.0,80.0,0.0,730.0,710.0,197.0,34.0,0,0,-1.0,2437.0,52.1,0,90.61
640.0,160.0,0.0,730.0,710.0,185.0,32.0,0,0,-1.0,2425.0,56.2,0,102.68
560.0,240.0,0.0,730.0,710.0,172.0,30.0,0,0,-1.0,2412.0,56.4,0,106.51
275.0,275.0,0.0,900.0,504.0,176.0,5.5,0,0,1.98,2130.0,-1.0,0,25.5
160.7,127.4,0.0,804.0,1090.0,162.1,7.8,0,0,-1.0,2344.2,-1.0,0,27.41
212.1,125.6,0.0,779.3,1057.6,184.2,5.7,0,0,-1.0,2358.7999999999997,-1.0,0,21.81
165.0,124.8,0.0,900.9,1005.6,163.8,0.0,0,0,-1.0,2360.1000000000004,-1.0,0,26.11
190.3,124.8,0.0,798.9,1079.0,165.3,9.9,0,0,-1.0,2358.3,-1.0,0,26.67
250.0,124.8,0.0,857.2,948.9,192.8,5.3,0,0,-1.0,2373.7000000000003,-1.0,0,28.21
213.5,124.8,0.0,771.9,1043.6,159.2,11.7,0,0,-1.0,2313.0,-1.0,0,44.61
194.7,124.8,0.0,901.8,998.0,171.5,7.5,0,0,-1.0,2390.8,-1.0,0,39.27
251.4,124.8,0.0,754.3,1043.6,192.9,5.8,0,0,-1.0,2367.0,-1.0,0,36.99
310.0,124.8,0.0,712.2,936.2,189.9,0.0,0,0,-1.0,2273.1,-1.0,0,40.94
307.0,124.8,0.0,799.5,968.0,193.5,0.0,0,0,-1.0,2392.8,-1.0,0,29.33
290.0,124.8,0.0,755.0,936.0,192.2,0.0,0,0,-1.0,2298.0,-1.0,0,46.29
295.0,124.8,0.0,769.4,1069.0,185.3,0.0,0,0,-1.0,2443.5,-1.0,0,27.19
238.0,124.8,0.0,789.0,1118.0,185.2,0.0,0,0,-1.0,2455.0,-1.0,0,16.84
302.0,124.8,0.0,817.0,974.0,202.7,0.0,0,0,-1.0,2420.5,-1.0,0,26.11
312.5,124.6,0.0,734.0,1040.0,182.4,0.0,0,0,-1.0,2393.5,-1.0,0,40.08
220.9,124.8,0.0,896.0,896.0,142.5,0.0,0,0,-1.0,2280.2,-1.0,0,72.11
144.0,124.8,0.0,844.0,943.0,158.2,18.0,0,0,-1.0,2214.0,-1.0,0,17.42
148.0,124.8,0.0,830.0,1002.0,158.4,16.0,0,0,-1.0,2263.2000000000003,-1.0,0,19.95
326.0,124.6,0.0,792.0,801.0,199.1,11.0,0,0,-1.0,2242.7,-1.0,0,39.78
290.0,124.8,0.0,713.0,898.0,220.5,11.0,0,0,-1.0,2246.3,-1.0,0,9.59
299.8,124.8,0.0,727.6,878.2,211.5,9.9,0,0,-1.0,2241.9,-1.0,0,25.81
148.1,124.6,0.0,830.1,1001.8,159.2,16.1,0,0,-1.0,2263.7999999999997,-1.0,0,18.98
326.5,124.8,0.0,792.5,801.1,193.3,10.8,0,0,-1.0,2238.2000000000003,-1.0,0,35.61
276.4,124.8,0.0,712.9,897.7,217.4,11.0,0,0,-1.0,2229.2,-1.0,0,9.55
150.7,124.8,0.0,687.0,1074.5,164.6,15.6,0,0,-1.0,2201.6,-1.0,0,15.44
190.8,124.8,0.0,811.0,979.5,185.1,11.1,0,0,-1.0,2291.2,-1.0,0,15.21
190.9,124.8,0.0,784.0,991.2,168.2,11.6,0,0,-1.0,2259.1,-1.0,0,18.66
188.7,124.8,0.0,732.0,1023.3,182.4,11.7,0,0,-1.0,2251.2000000000003,-1.0,0,20.01
298.1,124.6,0.0,815.0,879.0,189.4,6.1,0,0,-1.0,2306.1,-1.0,0,41.64
318.9,124.8,0.0,725.0,860.5,212.7,5.7,0,0,-1.0,2241.9,-1.0,0,36.09
355.9,124.5,0.0,769.0,801.4,196.3,11.0,0,0,-1.0,2247.1000000000004,-1.0,0,36.27
199.8,124.8,0.0,856.5,849.3,185.4,12.6,0,0,-1.0,2215.7999999999997,-1.0,0,18.01
278.7,124.8,0.0,782.0,925.3,170.3,10.1,0,0,-1.0,2281.1000000000004,-1.0,0,41.16
425.0,50.0,0.0,740.0,1041.0,140.0,12.23,0,0,-1.0,2396.0,-1.0,0,61.97
350.0,100.0,0.0,790.0,948.0,140.0,14.406,0,0,-1.0,2328.0,-1.0,0,65.28
275.0,150.0,0.0,870.0,887.0,140.0,14.508,0,0,-1.0,2322.0,-1.0,0,62.14
400.0,100.0,0.0,710.0,999.0,160.0,9.568,0,0,-1.0,2369.0,-1.0,0,52.28
325.0,150.0,0.0,660.0,1101.0,160.0,9.784,0,0,-1.0,2396.0,-1.0,0,50.92
450.0,0.0,0.0,860.0,876.0,160.0,9.668,0,0,-1.0,2346.0,-1.0,0,60.86
375.0,50.0,0.0,790.0,948.0,160.0,10.89,0,0,-1.0,2323.0,-1.0,0,61.37
350.0,150.0,0.0,790.0,937.0,180.0,4.858,0,0,-1.0,2407.0,-1.0,0,45.31
375.0,100.0,0.0,860.0,876.0,180.0,4.874,0,0,-1.0,2391.0,-1.0,0,55.42
400.0,50.0,0.0,660.0,1090.0,180.0,4.91,0,0,-1.0,2380.0,-1.0,0,54.4
425.0,0.0,0.0,710.0,999.0,180.0,6.0275,0,0,-1.0,2314.0,-1.0,0,55.51
450.0,50.0,0.0,830.0,846.0,200.0,3.5925,0,0,-1.0,2376.0,-1.0,0,42.59
475.0,0.0,0.0,780.0,937.0,200.0,3.6585,0,0,-1.0,2392.0,-1.0,0,45.47
300.0,150.0,0.0,710.0,988.0,200.0,3.6315,0,0,-1.0,2348.0,-1.0,0,40.46
325.0,100.0,0.0,630.0,1050.0,200.0,4.806,0,0,-1.0,2305.0,-1.0,0,40.89
155.0,143.0,184.0,699.0,880.0,194.0,9.0,0,0,-1.0,2255.0,-1.0,0,28.99
151.8,138.7,178.1,694.6,944.0,167.5,18.3,0,0,-1.0,2274.7,-1.0,0,36.35
167.0,195.0,187.0,636.0,898.0,185.0,7.0,0,0,-1.0,2268.0,-1.0,0,23.89
132.0,161.0,207.0,736.0,867.0,179.0,5.0,0,0,-1.0,2282.0,-1.0,0,33.3
255.0,77.0,99.0,749.0,919.0,189.0,6.0,0,0,-1.0,2288.0,-1.0,0,33.8
178.0,118.6,129.8,746.8,1007.3,179.9,3.6,0,0,-1.0,2360.4,-1.0,0,39.16
167.0,167.0,75.4,770.1,1007.3,164.0,7.9,0,0,-1.0,2350.8,-1.0,0,41.41
149.0,92.0,118.0,780.0,953.0,183.0,7.0,0,0,-1.0,2275.0,-1.0,0,23.52
309.9,111.2,142.8,651.2,913.9,167.8,22.1,0,0,-1.0,2296.8,-1.0,0,38.22
237.0,71.0,92.0,695.0,853.0,247.0,6.0,0,0,-1.0,2195.0,-1.0,0,28.63
252.0,76.0,97.0,821.0,835.0,194.0,8.0,0,0,-1.0,2275.0,-1.0,0,33.4
397.0,158.0,17.2,633.0,967.0,167.0,20.8,0,0,-1.0,2339.2,-1.0,0,55.65
158.6,116.0,148.9,719.7,953.3,175.1,15.0,0,0,-1.0,2271.6,-1.0,0,27.68
160.0,122.0,128.0,879.0,824.0,182.0,6.4,0,0,-1.0,2295.0,-1.0,0,39.4
387.0,94.0,20.0,845.0,938.0,157.0,13.9,0,0,-1.0,2441.0,-1.0,0,46.68
162.0,164.0,214.0,680.0,820.0,202.0,10.0,0,0,-1.0,2242.0,-1.0,0,30.65
262.0,86.0,111.0,733.0,895.0,195.0,5.0,0,0,-1.0,2282.0,-1.0,0,33.72
218.2,123.8,54.6,792.7,1075.7,140.8,11.9,0,0,-1.0,2405.8,-1.0,0,55.51
387.0,94.0,20.0,845.0,938.0,157.0,11.6,0,0,-1.0,2441.0,-1.0,0,46.68
160.0,146.0,188.0,710.0,829.0,203.0,11.0,0,0,-1.0,2236.0,-1.0,0,32.84
252.1,75.6,97.1,821.4,835.5,193.8,8.3,0,0,-1.0,2275.5,-1.0,0,33.4
446.0,79.0,24.0,712.0,967.0,162.0,11.6,0,0,-1.0,2390.0,-1.0,0,44.42
446.0,79.0,24.0,712.0,967.0,162.0,11.6,0,0,-1.0,2390.0,-1.0,0,57.03
276.0,90.0,116.0,768.0,870.0,180.0,9.0,0,0,-1.0,2300.0,-1.0,0,44.28
359.0,141.0,19.0,801.0,942.0,154.0,10.9,0,0,-1.0,2416.0,-1.0,0,59.49
159.0,161.0,209.0,669.0,848.0,201.0,7.0,0,0,-1.0,2247.0,-1.0,0,30.88
136.4,125.8,161.6,764.4,922.6,171.6,10.4,0,0,-1.0,2282.3999999999996,-1.0,0,29.07
184.0,190.0,86.0,623.0,923.0,213.0,6.0,0,0,-1.0,2219.0,-1.0,0,22.93
136.0,98.0,196.0,783.0,847.0,199.0,6.0,0,0,-1.0,2259.0,-1.0,0,26.97
144.0,133.0,170.0,805.0,814.0,192.0,8.0,0,0,-1.0,2258.0,-1.0,0,29.87
149.0,194.0,153.0,623.0,935.0,192.0,8.0,0,0,-1.0,2246.0,-1.0,0,24.58
213.8,24.5,98.1,785.5,1066.0,181.7,6.7,0,0,-1.0,2369.6,-1.0,0,40.23
259.9,78.4,100.6,762.9,935.7,170.6,10.4,0,0,-1.0,2308.1,-1.0,0,49.77
236.9,71.5,91.7,695.4,852.9,246.9,6.0,0,0,-1.0,2195.3,-1.0,0,28.63
162.0,148.1,190.1,741.4,838.1,178.8,18.8,0,0,-1.0,2258.5,-1.0,0,33.76
277.0,91.0,116.8,665.6,946.5,190.6,7.0,0,0,-1.0,2287.5,-1.0,0,43.58
143.0,143.0,169.0,643.0,967.0,191.0,8.0,0,0,-1.0,2256.0,-1.0,0,29.72
153.0,113.0,145.0,824.0,867.0,178.0,8.0,0,0,-1.0,2280.0,-1.0,0,26.23
491.0,123.0,26.0,699.0,882.0,210.0,3.9,0,0,-1.0,2431.0,-1.0,0,55.55
143.7,132.6,170.2,805.3,814.1,191.6,8.5,0,0,-1.0,2257.5,-1.0,0,29.87
298.0,107.0,137.0,655.0,878.0,201.0,6.0,0,0,-1.0,2276.0,-1.0,0,53.52
173.8,159.9,93.4,746.6,1007.2,172.3,9.7,0,0,-1.0,2353.2000000000003,-1.0,0,37.81
136.0,126.0,162.0,764.0,923.0,172.0,10.0,0,0,-1.0,2283.0,-1.0,0,29.07
149.0,109.0,139.0,780.0,892.0,193.0,6.0,0,0,-1.0,2262.0,-1.0,0,23.69
172.4,172.4,13.6,856.4,1006.3,156.8,4.1,0,0,-1.0,2377.9,-1.0,0,33.69
266.0,87.0,112.0,745.0,910.0,178.0,10.0,0,0,-1.0,2298.0,-1.0,0,39.42
297.8,106.9,137.2,655.3,878.4,201.3,6.0,0,0,-1.0,2276.9,-1.0,0,53.52
168.0,163.8,42.1,780.1,1058.7,121.8,5.7,0,0,-1.0,2334.5,-1.0,0,24.24
446.0,79.0,24.0,712.0,967.0,162.0,10.3,0,0,-1.0,2390.0,-1.0,0,53.39
277.0,91.0,117.0,666.0,946.0,191.0,7.0,0,0,-1.0,2288.0,-1.0,0,43.57
155.2,143.2,183.9,698.5,879.6,193.8,9.2,0,0,-1.0,2254.2000000000003,-1.0,0,28.99
334.0,158.0,17.6,633.0,967.0,189.0,15.3,0,0,-1.0,2298.6,-1.0,0,44.33
261.9,86.1,110.5,732.6,895.2,195.4,5.0,0,0,-1.0,2281.7000000000003,-1.0,0,33.72
264.5,86.5,111.0,790.4,832.6,195.5,5.9,0,0,-1.0,2280.5,-1.0,0,41.54
162.0,172.0,207.0,638.0,822.0,216.0,10.0,0,0,-1.0,2217.0,-1.0,0,39.84
275.0,120.0,180.0,765.0,830.0,162.0,10.4,0,0,-1.0,2332.0,-1.0,0,76.24
280.0,100.0,129.0,805.0,825.0,172.0,9.0,0,0,-1.0,2311.0,-1.0,0,52.82
310.0,111.0,143.0,651.0,914.0,168.0,22.0,0,0,-1.0,2297.0,-1.0,0,33.69
446.0,79.0,24.0,712.0,967.0,162.0,11.6,0,0,-1.0,2390.0,-1.0,0,51.02
261.0,78.0,100.0,761.0,864.0,201.0,9.0,0,0,-1.0,2265.0,-1.0,0,32.4
