Mix ID, Cement(kg/m3), Water(kg/m3),Coarse aggregate(kg/m3),Fine aggregate(kg/m3), FA (kg/m3),SF (kg/m3),GGBFS (kg/m3),SP (kg/m3),Cylinder compressive strength (MPa),Splitting tensile strength (MPa),Flexural strength (MPa),Elastic modulus (GPa),Chloride permeability (Coulomb) 28d,Chloride permeability (Coulomb) 90d,Chloride permeability (Coulomb) 180d,Drying shrinkage (με) 7d,Drying shrinkage (με) 28d,Drying shrinkage (με) 90d,Drying shrinkage (με)120d,Creep (με) 28d,Creep (με) 90d,Creep (με) 150d,Abrasion (mm) 28 d,Reference
R24_W/B=0.35_40FA10SF,257,180,621,1023,206,51,0,3.1868,64.09,-1,-1,-1,960,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R24_W/B=0.35_50FA10SF,206,180,621,1001,257,51,0,2.57,54.99,-1,-1,-1,750,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R24_W/B=0.35_60FA10SF,154,180,621,980,309,51,0,2.056,43.43,-1,-1,-1,1380,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R24_W/B=0.4_50FA,225,180,640,1072,225,0,0,1.17,35.62,-1,-1,-1,3560,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R24_W/B=0.4_60FA,180,180,640,1053,270,0,0,0.945,30.35,-1,-1,-1,3200,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R24_W/B=0.4_70FA,135,180,640,1034,315,0,0,0.585,26.95,-1,-1,-1,2830,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R24_W/B=0.4_5SF,428,180,640,1157,0,23,0,8.55,64.01,-1,-1,-1,1660,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R24_W/B=0.4_10SF,405,180,640,1147,0,45,0,9.45,67.15,-1,-1,-1,750,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R24_W/B=0.4_45FA5SF,225,180,640,1072,203,23,0,1.935,43.78,-1,-1,-1,910,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
R24_W/B=0.4_55FA5SF,180,180,640,1053,248,23,0,1.53,33.32,-1,-1,-1,1760,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,
